Codice Articolo,Descrizione Articolo,Inventario,Lob Associata,Lob Associata Cleaned,LOB Cleaning Decision,desc_token_count,desc_token_outlier
FG-600E,"2 x 10GE SFP+ slots, 10 x GE RJ45 ports (including 1 x MGMT port, 1 X HA port, 8 x switch ports),",Inventario,6007,6007,unchanged,23,1
FG-600E-BDL-811-60,FortiGate-600E Hardware plus 5 Year 24x7 FortiCare and FortiGuard Enterprise Protection,Inventario,6007,6007,unchanged,12,0
FG-600E-BDL-950-36,HARDWARE PLUS 24x7 FortiCare and FortiGuard Unified (UTM) PR,Inventario,6007,6007,unchanged,9,0
FG-600E-BDL-950-60,FortiGate-600E Hardware plus 5 Year 24x7 FortiCare Protectio,Inventario,6007,6007,unchanged,9,0
FG-600F,"4x 25G SFP28 slots, 4 x 10GE SFP+ slots, 18 x GE RJ45 ports (including 1 x MGMT port, 1 X HA port, 1",Inventario,6007,6007,unchanged,24,1
FG-600F-BDL-950-12,FortiGate-600F Hardware plus 1 Year FortiCare Premium and FortiGuard Unified Threat Protection (UTP),Inventario,6007,6007,unchanged,14,0
FG60CPCOR-EU,"6ft power cord, C6 inlet",Inventario,6007,6007,unchanged,5,0
FG-60E,"10 x GE RJ45 ports (including 7 x Internal Ports, 2 x WAN",Inventario,6007,6007,unchanged,13,0
FG-60E-BDL-950-12,Hardware plus 24x7 FortiCare and FortiGuard UTM Protection,Inventario,6007,6007,unchanged,8,0
FG-60F,"10 x GE RJ45 PORTS (INCLUDING 7 x INTERNAL PORTS, 2 x WAN PO",Inventario,6007,6007,unchanged,14,0
FG-60F-BDL-809-3Y,Hardware plus FortiCare Premium and FortiGuard Enterprise Protection,Inventario,6007,6007,unchanged,8,0
FG-60F-BDL-811-12,Hardware plus 24x7 FortiCare and FortiGuard Enterprise Protection,Inventario,6007,6007,unchanged,8,0
FG-60F-BDL-811-36,FortiGate-60F Hardware plus 3 Year 24x7 FortiCare and FortiGuard Enterprise Protection,Inventario,6007,6007,unchanged,12,0
FG-60F-BDL-950-12,Hardware plus 24x7 FortiCare and FortiGuard Unified (UTM) Protection,Inventario,6007,6007,unchanged,9,0
FG-60F-BDL-950-36,FortiGate-60F Hardware plus 3 Year 24x7 FortiCare and FortiGuard Unified Threat Protection (UTP),Inventario,6007,6007,unchanged,14,0
FG-60F-BDL-950-3Y,FG-60 + FortiCare Premium and FortiGuard Unified Threat Protection (UTP) - per 3 anni,Inventario,6007,6007,unchanged,13,0
FG-60F-BDL-950-60,FortiGate-60F Hardware plus 5 Year 24x7 FortiCare and FortiGuard Unified Threat Protection (UTP),Inventario,6007,6007,unchanged,14,0
FG-60F-BDL-950-DD,FortiGate-60F Hardware plus 3 Year 24x7 FortiCare and FortiGuard Unified Threat Protection (UTP),Inventario,6007,6007,unchanged,14,0
FG-61E,"10 x GE RJ45 ports (including 2 x WAN Ports, 1 x DMZ Port, 7",Inventario,6007,6007,unchanged,15,0
FG-61F-BDL-811-36,FortiGate-61F Hardware plus 3 Year 24x7 FortiCare and FortiGuard Enterprise Protection,Inventario,6007,6007,unchanged,12,0
FG-70F,"10 x GE RJ45 ports (including 7 x Internal Ports, 2 x WANPorts, 1 x DMZ Port",Inventario,6007,6007,unchanged,17,0
FG-70F-BDL-879-36,3YR FortiGate-70F Hardware plus 24x7 FortiCare and FortiGuard SMB Protection,Inventario,6007,6007,unchanged,11,0
FG-70F-BDL-950-36,Hardware plus FortiCare Premium and FortiGuard Unified Threat Protection (UTP),Inventario,6007,6007,unchanged,10,0
FG-70G,"10 x GE RJ45 ports (including 7 x Internal Ports, 2 x WAN Ports, 1 x DMZ Port).",Inventario,6007,6007,unchanged,18,1
FG-70G-BDL-950-12,Hardware plus FortiCare Premium and FortiGuard Unified Threat Protection (UTP),Inventario,6007,6007,unchanged,10,0
FG-70G-BDL-950-36,FortiGate-70G Hardware plus 3 YearFortiCare Premium and FortiGuard UnifiedThreat Protection (UTP),Inventario,6007,6007,unchanged,12,0
FG-71F-BDL-950-36,Hardware plus FortiCare Premium and FortiGuard Unified Threat Protection (UTP),Inventario,6007,6007,unchanged,10,0
FG75G10,FG7OR/4 5X10 CON G/V BOBINA,Inventario,1002,1002,unchanged,7,0
FG7OH2R 2X1.5,FG7OH2R 0.6/1KV SEZIONE 2X1.5 GRIGIO CEI 20-22 II,Inventario,1002,1002,unchanged,12,0
FG-80C,"FORTIGATE 80C 2 x GE RJ45 ports, 7 x FE ports",Inventario,6007,6007,unchanged,11,0
FG-80E,"14 x GE RJ45 ports (including 1 x DMZ port, 1 x Mgmt port, 1",Inventario,6007,6007,unchanged,15,0
FG-80E-BDL-950-36,FortiGate-80E 3 Year Hardware plus 24x7 FortiCare and FortiG,Inventario,6007,6007,unchanged,10,0
FG-80E-BDL-950-60,FG-80E-BDL-950-60 FortiGate-80E Hardware plus 5 Year 24x7 Fo,Inventario,6007,6007,unchanged,13,0
FG-80F,"8 x GE RJ45 ports, 2 x RJ45/SFP shared media WAN ports.",Inventario,6007,6007,unchanged,13,0
FG-80F-BDL-811-36,FortiGate-80F Hardware plus 3 Year 24x7 FortiCare and FortiGuard Enterprise Protection,Inventario,6007,6007,unchanged,12,0
FG-80F-BDL-950-12,FortiGate-80F Hardware plus 1 Year FortiCare Premium and FortiGuard Unified Threat Protection (UTP),Inventario,6007,6007,unchanged,14,0
FG-80F-BDL-950-36,Hardware plus 24x7 FortiCare and FortiGuard Unified Threat Protection (UTP),Inventario,6007,6007,unchanged,10,0
FG-80F-BDL-950-60,FortiGate-80F Hardware plus 5 Year 24x7 FortiCare and FortiGuard Unified Threat Protection (UTP),Inventario,6007,6007,unchanged,14,0
FG-80F-HA,"8 x GE RJ45 ports, 2 x RJ45/SFP shared media WAN ports.FG-XX-HA SKUs must to be bought in pairs and",Inventario,6007,6007,unchanged,24,1
FG-80F-POE-BDL-950-6,FortiGate-80F-POE Hardware plus 5 Year 24x7 FortiCare and FortiGuard Unified Threat Protection (UTP),Inventario,6007,6007,unchanged,15,0
FG-81F,"FORTIGATE 81 F --- 8 x GE RJ45 ports, 2 x RJ45/SFP shared media WAN ports, 128GB SSD",Inventario,6007,6007,unchanged,18,1
FG-81F-BDL-950-36.,Fortigate-81F Hardware plus 3 Year Forticare Premium and Fortiguard Unified Threat Protection (UTP),Inventario,6007,6007,unchanged,14,0
FG-90D,"10 x GE RJ45 ports (including 7 x Internal Ports, 2 x WAN Po",Inventario,6007,6007,unchanged,14,0
FG-90G,"Fortinet-FG-90G-FortiGate-90G 8 x GE RJ45 ports, 2 x 10GE RJ45/SFP+ shared media WAN ports.",Inventario,6007,6007,unchanged,19,1
FG-90G-BDL-950-36,FortiGate-90G Hardware plus 3 YearFortiCare Premium and FortiGuard UnifiedThreat Protection (UTP),Inventario,6007,6007,unchanged,12,0
FG-90G-BDL-950-60,FortiGate-90G Hardware plus 5 Year FortiCare Premium and FortiGuard Unified Threat Protection (UTP),Inventario,6007,6007,unchanged,14,0
FGR-60F,"Fortinet-FGR-60F-Ruggedized, 4 x GE RJ45 Switch ports, 2 x Shared Media pairs (Including 2 x GE RJ45",Inventario,6007,6007,unchanged,20,1
FGR-70F-BDL-811-12,FortiGateRugged-70F Hardware plus 1 Year FortiCare Premium and FortiGuard Enterprise Protection,Inventario,6007,6007,unchanged,12,0
FGR-70G,"FortiGateRugged-70G Ruggedized, indoor, IP40, 4x GE RJ45 LAN ports, 1x GE RJ45 bypass port pair (bet",Inventario,6007,6007,unchanged,17,0
FG-TRAN-GC,1GE SFP RJ45 transceiver module for all systems with SFP and SFP/SFP+ slots,Inventario,6007,6007,unchanged,14,0
FG-TRAN-LX,SFP LX TRANSCEIVER MODULE,Inventario,6007,6007,unchanged,4,0
FG-TRAN-SFP+SR,"10GE SFP+ transceiver module, short range",Inventario,6007,6007,unchanged,6,0
FG-TRAN-SX,1GE SFP SX transceiver module,Inventario,6007,6007,unchanged,5,0
FG-VDOM-5-UG,Upgrade license for adding 5 VDOMs,Non in inventario,6007,6007,unchanged,6,0
FG-VM01V,FortiGate-VM01V,Inventario,6007,6007,unchanged,2,0
FG-VM02V,FORTIGATE-VM VIRTUAL APPLIANCE DESIGNED FOR ALL SUPPORTED PL,Inventario,6007,6007,unchanged,9,0
FG-VM04V,FortiGate-VM virtual appliance designed for all supported platforms - 4 x vCPU cores and unlimited R,Inventario,6007,6007,unchanged,16,0
FG-VM08V,FortiGate-VM virtual appliance designed for all supported platforms - 8 x vCPU cores and unlimited,Inventario,6007,6007,unchanged,15,0
FH82C16,btdin100 - magnetot 2P curva C 16A 10kA,Inventario,1002,1002,unchanged,7,0
FHC3XO-08-10BN,"Hd flex breakout cassette , mpo to duplex lc, OM3 fibre",Inventario,1008,1008,unchanged,10,0
FHC3ZA-08-10B,HD Flex Breakout CassettesOM4 Fiber/Ultra Low Loss (0.35 dB),Inventario,1008,1008,unchanged,11,0
FHC9N-12-10AF,"FHC9N-12-10AF HD Flex™ MPO-LC Cassette, OS2, 12 Fiber, Polarity A, flipped",Inventario,1008,1008,unchanged,14,0
FHC9N-12-10AS,"FHC9N-12-10AS HD Flex™ MPO-LC Cassette, OS2, 12 Fiber, Polarity A, straight",Inventario,1008,1008,unchanged,14,0
FHCXO-12-10AS,HD Flex Encloure Trunk Slack Plate- 1RU,Inventario,1008,1008,unchanged,7,0
FHCZO-12-10AF,"FHCZO-12-10AF HD Flex™ MPO-LC Cassette, OM4, 12 Fiber, Polarity A, flipped",Inventario,1008,1008,unchanged,14,0
FHCZO-12-10AS,"FHCZO-12-10AS HD Flex™ MPO-LC Cassette, OM4, 12 Fiber, Polarity A, straight",Inventario,1008,1008,unchanged,14,0
FHD-00006,Surface Arc Mouse Bluetooth LIGHT GREY,Inventario,3004,3004,unchanged,6,0
FHP2151,"Cavo per casse acustiche S2Ceb-Groupe Cae conduttori 2, 1,5 mm² CSA, 6.2mm od Multipolare",Inventario,4009,4009,unchanged,17,0
FHS9N-12-10P,"HD Flex LC Splice Cassette Preloaded with 12 OS2 LC Pigtails (250um), Standard IL; 6-port Duplex LC",Inventario,1008,1008,unchanged,18,1
FHZ8LGLU01MM002,"OM4 8-Fiber Harness LSZH, MPO-8 Female to Duplex LC equal length (No Stagger) 39 inch (1 m) breakout",Inventario,1008,1008,unchanged,20,1
FHZ8LGLU01MM003,"OM4 8-Fiber Harness LSZH, MPO-8 Female to Duplex LC equal length (No Stagger) 39 inch (1 m) breakout",Inventario,1008,1008,unchanged,20,1
FHZ8LGLU01MM004,"OM4 8-Fiber Harness LSZH, MPO-8 Female to Duplex LC equal length (No Stagger) 39 inch (1 m) breakout",Inventario,1008,1008,unchanged,20,1
FHZ8LGLU01MM005,"OM4 8-Fiber Harness LSZH, MPO-8 Female to Duplex LC equal length (No Stagger) 39 inch (1 m) breakout",Inventario,1008,1008,unchanged,20,1
FHZ8LGLU01MM007,"OM4 8-Fiber Harness LSZH, MPO-8 Female to Duplex LC equal length (No Stagger) 39 inch (1 m) breakout",Inventario,1008,1008,unchanged,20,1
FI1000-MPO-UTIP,MPO/MTP Probe Tip for Patch Cords and Bulkheads,Inventario,1002,1002,unchanged,9,0
FIA-FG20721,"ACCUMULATORE 7,2Ah 12V ERMETICO",Inventario,17009,17009,unchanged,5,0
FIBR001,TERMORESTRINGENTE X GIUNTI FO L=60mm (conf.da 100),Inventario,1002,1002,unchanged,9,0
FIBR003,VASSOIO PORTA GIUNTI PER MAX 12 FIBRE,Inventario,1002,1002,unchanged,7,0
FIBR004,VASSOIO PORTA GIUNTI PER MAX 24 FIBRE,Inventario,1002,1002,unchanged,7,0
FIBR123,BUSSOLA LC DUPLEX MULTIMODALE(SC STYLE) - AQUA,Inventario,1002,1002,unchanged,7,0
FIBR803,BUSSOLA SC DUPLEX MONOMODALE,Inventario,1002,1002,unchanged,4,0
FIBR805,BUSSOLA LC DUPLEX MONOMODALE (SC-Style) - Blu,Inventario,1002,1002,unchanged,7,0
FIBR808,BUSSOLA DUPLEX MULTIMODALE - Aqua,Inventario,1002,1002,unchanged,4,0
FIDOKA CLOUD,ATTIVAZIONE SERVIZIO FIDOKA CLOUD,Inventario,99001,99001,unchanged,4,0
FIL58616,3F LINDA LED 2X30W L=1570 9259 lm,Inventario,1002,1002,unchanged,8,0
FILTRO ARIA,FILTRO ARIA 1060X575 H 48 MM PER CHILLER,Inventario,1002,1002,unchanged,8,0
FIN13120012000,RELE CIC 012V AC/DC DIN XQALLARME BAGNO+RES,Inventario,1002,1002,unchanged,9,0
FIN18.91.8.230.004,RIVELATORE DI PRESENZA INC 7MT 110° 230 BI,Inventario,1002,1002,unchanged,8,0
FIN405280240000,RELE MINI 024VAC 2C 8A CIRC,Inventario,1002,1002,unchanged,6,0
FIN40529012000,MINI RELE 012V DC 2C 8A CIRC,Inventario,1002,1002,unchanged,7,0
FIN405290120000,MINIRELE 2SCAMBI 8A 12VDC,Inventario,1002,1002,unchanged,4,0
FIN40529024,mini releper c.s. 2 contatti,Inventario,1002,1002,unchanged,6,0
FIN40529024000,RELE MINI 24V DC 2C 8A CIRC,Inventario,1002,1002,unchanged,7,0
FIN553490240094,RELE INDUSTRIALE 4 CONTATTI 7A,Inventario,1002,1002,unchanged,5,0
FIN80.01.0.240.000,TEMP. UNIV. 12/240V AC-DC 1CONT DIN,Inventario,1002,1002,unchanged,8,0
FIN9402SMA,ZOCCOLO CON MORSETTI A BUSSOLA 2P S.55,Inventario,1002,1002,unchanged,8,0
FIN9575,ZOCCOLO CON MORSETTI BUSSOLA 2P S.4,Inventario,1002,1002,unchanged,7,0
FIRENEX-5000H-K,USB 3.0 Optical Repeater for Microsoft Kinect V2 Extension,Inventario,3004,3004,unchanged,10,0
FIS00009351,SAM 280-TR SILICONE ACETICO,Inventario,1002,1002,unchanged,5,0
FIS00500622,SLM 8V CON VITE TE,Inventario,1002,1002,unchanged,5,0
FIS00522069,SX 6S 400PZ PROPACK VASCHETTA,Inventario,1002,1002,unchanged,5,0
FIS00570021,SX 6 TASSELLO IN NYLON,Inventario,1002,1002,unchanged,5,0
FIS00570206,SX PLU 6X30 S barattolo 200PZ,Inventario,1002,1002,unchanged,6,0
FIS570020,SX 5 TASSELLO IN NYLON,Inventario,1002,1002,unchanged,5,0
FISTKLLM8,MORSETTO 5-18MM M8,Inventario,1002,1002,unchanged,4,0
FI-U320-020,"USB 3.2 Gen1 USB-C / USB-A Cable, black, 2.00m, Single Cable",Inventario,4009,4009,unchanged,14,0
FJ.P1Y81.E1E,TASTIERA I300 XTOUCH MM SLIM BLACK,Inventario,3004,3004,unchanged,6,0
FJ.P1Y81.E4E,SOLUZIONE I350 MOUSE/KEYBOARD USB,Inventario,3004,3004,unchanged,5,0
FJ.Q3188.U8D,MOUSE OTTICO M106 BLACK SILVER USB,Inventario,3004,3004,unchanged,6,0
FJ:SERVIZI,"OS,9x5,NBD Rt",Non in inventario,3004,3004,unchanged,4,0
FJY-00004,Microsoft SURFACE PRO,Inventario,3004,3004,unchanged,3,0
FK-STR-MS2-KIT,FLUKE - Kit professionale Microscanner2: identificatori remoti 2-7+IntelliTone Pro 200 Probe+cavi co,Inventario,1002,1002,unchanged,14,0
FL.03,"FDD 1.44 MB 3"" 1/2 COLORE NERO",Inventario,3004,3004,unchanged,9,0
FL21ZDJI1DXX,"F110G5 - UTILITIES CAPACITIVE, MULTITOUCH, CAM, USB (3.0), BLUETOOTH, Wi-Fi(802.11ac),1.6GHZRAM 8 GB",Inventario,3004,3004,unchanged,17,0
FL-39-HSEC-K9,U.S. Export Restriction Compliance license for 3900 series,Inventario,2003,2003,unchanged,9,0
FL-4220-PERF-K9,Cisco ISR 4000 Performance Licenses,Inventario,2001,2001,unchanged,5,0
FL-4320-BOOST-K9=,"Booster Performance License for 4320 Series, SPARE",Inventario,2003,2003,unchanged,7,0
FL-4320-HSEC-K9,U.S. Export Restriction Compliance license for 4320 series,Inventario,2002,2002,unchanged,9,0
FL-4320-PERF-K9,Performance on Demand License for 4320 Series,Inventario,2001,2001,unchanged,7,0
FL-4330-BOOST-K9,"Booster Performance License for 4330 Series, SPARE",Inventario,2003,2003,unchanged,7,0
FL-4330-BOOST-K9=,"Booster Performance License for 4330 Series, SPARE",Inventario,2003,2003,unchanged,7,0
FL-4330-HSEC-K9,U.S. Export Restriction Compliance license for 4330 series,Inventario,2003,2003,unchanged,9,0
FL-4330-HSEC-K9=,U.S. Export Restriction Compliance license for 4330 series,Inventario,2003,2003,unchanged,9,0
FL-4330-PERF-K9,Performance on Demand License for 4330 Series,Inventario,2003,2003,unchanged,7,0
FL-4330-PERF-K9=,Performance on Demand License for 4330 Series,Inventario,2003,2003,unchanged,7,0
FL-4350-PERF-K9,Performance on Demand License for 4350 Series,Inventario,2003,2003,unchanged,7,0
FL-4430-BOOST-K9=,Booster Performance License for 4430 Series SPARE,Inventario,2003,2003,unchanged,7,0
FL-4460-BOOST-K9,Booster Performance License for 4460 Series,Inventario,2003,2003,unchanged,6,0
FL-4460-PERF-K9,Performance on Demand License for 4460 Series,Inventario,2002,2002,unchanged,7,0
FL-44-BOOST-K9=,"Booster Performance License for 4450 Series, SPARE",Inventario,2003,2003,unchanged,7,0
FL-44-HSEC-K9=,U.S. Export Restriction Compliance license for 4400 series,Inventario,2003,2003,unchanged,9,0
FL-44-PERF-K9=,Performance on Demand License for 4400 Series,Inventario,2003,2003,unchanged,7,0
FLAT MOON CEILING950,Flat moon ceiling 950 down LED 4000K,Inventario,24002,24002,unchanged,7,0
FL-CUBEE-25,UNIFIED BORDER ELEMENT ENTERPRISE LICENSE - 25 SESSIONS,Inventario,4004,4004,unchanged,7,0
F-LEDINSIAB4,INSTALLAZIONE FISICA ALL IN ONE su struttura previo sopralluogo di verifica,Non in inventario,4007,4007,unchanged,11,0
F-LEDINSIF18,INSTALLAZIONE FISICA Progettazione e realizzazione Ledwall su frame kit previo sopralluogo,Non in inventario,4009,4009,unchanged,11,0
F-LEDINSIW48,INSTALLAZIONE FISICA Progettazione e realizzazione THE WALL su frame kit prev,Non in inventario,99004,99004,unchanged,11,0
F-LEDVWVISIT,"Verifica preventiva ambienti e pareti per successiva installazione, identificazione per predisposizi",Non in inventario,4009,4009,unchanged,11,0
FLEX1U06,HD Flex Fiber Enclosures 1RU,Inventario,1008,1008,unchanged,5,0
FLEX1UPN06,HD Flex® Fiber Panel,Inventario,1008,1008,unchanged,4,0
FLEX2U06,Hd Flex 2 ru 6-port enclosure,Inventario,1008,1008,unchanged,7,0
FLEX-FCM1UA,1 RU HD Flex Front Cable Manager black,Inventario,1008,1008,unchanged,8,0
FLEX-PLATE1U,HD Flex Enclouser Trunk Slack Plate - 1RU,Inventario,1008,1008,unchanged,7,0
FLEX-PLATE1UR,HD Flex Enclosure Trunk Slack Plate with Rear Cover - 1RU - Black,Inventario,1008,1008,unchanged,11,0
FLIR C5,FLIR C5 TERMOCAMERA CAMPATTA 160*120PX,Inventario,2013,2013,unchanged,6,0
FLIR-C2,TERMOCAMERA FLIR C2,Inventario,2013,2013,unchanged,3,0
FLOORSIGHT V1 DESK,Floorsight v1 Desk Puck. Integrated desk module with 13.56Mhz card reader,Inventario,3004,3004,unchanged,12,0
FLSA1-1X-2.5-10G=,2.5G to 10Gbps upgrade License for ASR 1001-X,Inventario,2003,2003,unchanged,10,0
FLSA1-1X-2.5-20G,"2.5G to 20Gbps upgrade License for ASR 1001-X, Built-in 2x10",Inventario,2001,2001,unchanged,13,0
FLSA1-1X-2.5-5G,2.5G to 5Gbps License for ASR 1001-X,Inventario,2003,2003,unchanged,9,0
FLSA1-1X-5-10G=,5G to 10Gbps License for ASR 1001-X,Inventario,2003,2003,unchanged,8,0
FLSA1-BIN-1X10GE,ASR1001-X Built-In 10GE 1-port License,Inventario,2003,2003,unchanged,8,0
FLSA1-HX-2X10GE,ASR1000-HX Built-In 10GE 2-port License,Inventario,2003,2003,unchanged,8,0
FLSA1-HX-2X1GE,ASR1000-HX Built-In 1GE 2-port License,Inventario,2003,2003,unchanged,8,0
FLSASR1-IOSRED,SW REDUNDANCY LICENSE FOR ASR1000 SERIES,Inventario,2003,2003,unchanged,6,0
FLUKE 376FC,Multimetro a pinza AC/DC,Inventario,2006,2006,unchanged,5,0
FLUKE 9040,Indicatore di rotazione delle fasi Fluke 9040,Inventario,1002,1002,unchanged,7,0
FLUKE-117,Multimetro digitale,Inventario,3004,3004,unchanged,2,0
FLUKE62MAX+,"Dual laser infrared thermometer, 12:1 spot",Inventario,1002,1002,unchanged,7,0
FL-VG4XX-CC=,Cloud Calling license for Cisco VG4xx Series - SPARE,Inventario,4001,4001,unchanged,8,0
FME23727B,KIT 50 PLUG RJ45 CAT.6 UTP+10C/PL,Inventario,1002,1002,unchanged,9,0
FME410100,CIABATTA MULTISTANDARD 4P,Inventario,1002,1002,unchanged,3,0
FME410131,FANTON 410131 Multipresa senza Cavo 4 Uscite,Inventario,3004,3004,unchanged,7,0
FME410200,"MULT. 1,5M 3G1 S17 6P40+I",Inventario,1002,1002,unchanged,7,0
FMG-VM-100-UG,UPGRADE LICENSE FOR ADDING 100 FORTIGATE DEVICES/ADMINISTRAT,Inventario,6007,6007,unchanged,8,0
FMG-VM-10-UG,ADDS 10 DEVICES/ADMINISTRATIVE DOMAINS. SUPPORT UP TO 2 GB,Inventario,6007,6007,unchanged,10,0
FMG-VM-BASE,Base license for stackable FortiManager-VM. Manages up to 1,Inventario,6007,6007,unchanged,10,0
FMM-00010,TASTIERA MICROSOFT SURFACE PRO,Inventario,4002,4002,unchanged,4,0
FMN-00010,Microsoft Surface Pro Type Cover (M1725),Inventario,4002,4002,unchanged,6,0
FMP6,PANNELLO MULTIMEDIALE MODULARE,Inventario,1008,1008,unchanged,3,0
FMT1,Vassoio di interconnessione multimediale con capacità fino a,Inventario,1008,1008,unchanged,8,0
FMT1A,Rack Mount Fiber Tray Angled 1 RU,Inventario,1008,1008,unchanged,7,0
FMTPFCT,ATTREZZO PULISCI CONNETTORI MPO,Inventario,1008,1008,unchanged,4,0
FMUSEMEAAC202001R,ACCELERATE 2020 EMEA SINGLE REGISTRATION,Non in inventario,6007,6007,unchanged,5,0
FNC-CAX-VM,FortiNAC Control and Application Extended-VM FortiNAC Control and Application next-gen VM Server (VM,Inventario,6007,6007,unchanged,15,0
FNC-MX-VM,Manager Extended VM FortiNAC Manager next-gen VM Server (Vmware or Hyper-V),Inventario,6007,6007,unchanged,13,0
FN-TRAN-GC,1GE SFP RJ45 transceiver module for all systems with SFP and SFP/SFP+ slots,Inventario,6007,6007,unchanged,14,0
FN-TRAN-LX,1GE SFP LX transceiver module for all systems witch SFP and SFP/SFP+ slots,Inventario,6007,6007,unchanged,14,0
FN-TRAN-QSFP+SR,"40GE QSFP+ transceivers, short range for all systems with QSFP+ Slots",Inventario,6007,6007,unchanged,11,0
FN-TRAN-SFP+GC,"10 GE SFP+ transceiver module, range 30m, RJ45 connector, CAT6A, -5°C to 85°C, for systems with SFP+",Inventario,6007,6007,unchanged,19,1
FN-TRANSFP+LR,"Fortinet-10GE SFP+ transceiver module,",Inventario,6007,6007,unchanged,5,0
FN-TRAN-SFP+LR,"10GE SFP+ transceiver module, long range for all systems with SFP+ and SFP/SFP+ slots",Inventario,6007,6007,unchanged,15,0
FN-TRAN-SFP+SR,"10GE SFP+ transceiver module, short range for all systems with SFP+ and SFP/SFP+ slots",Inventario,6007,6007,unchanged,15,0
FN-TRANSFP28-SR,"Fortinet-FN-TRAN-SFP28-SR-25GE/10GE Dual Rate SFP28 transceiver module, short range for systems with",Inventario,6007,6007,unchanged,17,0
FN-TRAN-SFP-SR,"Fortinet 10GBASE-SR SFP+ Modulo Transceiver (MMF, 850nm, 300m, LC, DOM)",Inventario,6007,6007,unchanged,11,0
FN-TRAN-SX,1GE SFP SX transceiver module for all systems with SFP and SFP/SFP+ slots,Inventario,6007,6007,unchanged,14,0
FOLIXPRO12,PELLICOLA PROTETTIVA HP PRO SLATE 12,Inventario,3004,3004,unchanged,6,0
FON013,COPRIPLUG GRIGIO CONF. 50PZ,Inventario,1002,1002,unchanged,4,0
FON056,PLUG CAT.6 SCHERMATO PER CAVO FLESSIBILE,Inventario,1002,1002,unchanged,7,0
FON078,BRETELLA FONIA 110-RJ45 4CP - BLU,Inventario,1002,1002,unchanged,6,0
FON105,SPINA PLUG 8/8 CAT.6 PER CAVO FLEX UTP conf 100pz,Inventario,1002,1002,unchanged,12,0
FON115,SPINA PLUG 8/8 CAT.6 UTP,Inventario,1002,1002,unchanged,7,0
FON175,"CAVO TELCO MASCHIO-MASCHIO CAT 3, Lunghezza 5MT",Inventario,1002,1002,unchanged,8,0
FON304,Cavo Telco Maschio- Maschio Cat.3 Lunghezza 25 MT,Inventario,1002,1002,unchanged,9,0
FORFAZ-VM-BASE,BASE LICENSE FOR Stackable FortiAnalyzer-VM license,Inventario,6007,6007,unchanged,7,0
FORFAZ-VM-GB1,GB LOGS/DAY Add-on for the FortiAnalyzer-VM version,Inventario,6007,6007,unchanged,10,0
FORFC10003129040212,"NGFW + ATP Bundle (8x5 FortiCare plus NGFW, AV, and Web Fil",Inventario,6013,6013,unchanged,11,0
FORFC10FNDN11390112,FORTINET FDN,Inventario,6007,6007,unchanged,2,0
FORFC10FNDN11390212,FORFC-10-FNDN1-139-02-12,Inventario,6007,6007,unchanged,6,0
FORFC110LV0VM2480212,1 YR 24x7 FortiCare Contract (for 1-5 GB Logs/Day),Inventario,6007,6007,unchanged,11,0
FORFC110M30042480212,1 YEAR 24x7 COMPREHENSIVE FORTICARE,Inventario,6007,6007,unchanged,5,0
FORFG-100D,FORTIGATE-100D 20 x GE RJ45 PORTS,Inventario,6007,6007,unchanged,7,0
FORFG-100D-BDL,FORTIGATE 100 D PLUS 1 YR 8x5 Forticare and FortiGuard Bun,Inventario,6007,6007,unchanged,11,0
FORFG-200A,FORFG-200A ANTIVIRUS FIREWALL,Inventario,6007,6007,unchanged,4,0
FORFG-300C,"10/100/1000 accelerated ports, (2) 10/100/1000 ports and",Inventario,6007,6007,unchanged,11,0
FORFG-300D,6 x GE RJ45 PORTS (including 4 x FortiASIC-accelerated ports,Inventario,6007,6007,unchanged,11,0
FORFG-60C-BDL,"BUNDLE - DUAL 10/100 WAN PORTS, 10/100 DMZ PORT, 5-PORT",Inventario,6007,6007,unchanged,12,0
FORFG-60D,10 X GE RJ45 PORTS,Inventario,6007,6007,unchanged,5,0
FORFG-80C,"DUAL 10/100/1000 PORTS, 10/100 DMZ port, 6 port 10/100 switc",Inventario,6007,6007,unchanged,14,0
FORFMG-400A,FORTIMANAGER 400A,Inventario,6007,6007,unchanged,2,0
FORFMG-VM-BASE,BASE FORTIMANAGER,Inventario,6007,6007,unchanged,2,0
FORFWF-60D-BDL,FORTIWIFI-60D Hardware plus 1 year 8x5 Forticare,Inventario,6007,6007,unchanged,8,0
FORMAZIONETECGEN,FORMAZIONE TECNICA GENERALE,Non in inventario,99001,99001,unchanged,3,0
FOR-QUOTEID,24x7 Comprehensive FortiCare for FortiManger VM,Non in inventario,6013,6013,unchanged,6,0
FORTA M1500,Attuatore per valvola a globo Forta M1500 3 punti flottante,Inventario,24001,24001,unchanged,10,0
FORTA M1500-S2,Attuatore per valvola a globo M1500-S2 3 punti flottante inc,Inventario,24001,24001,unchanged,11,0
FORTA M800,Attuatore Forta M800 per valvole a globo. Controllo flottante e modulante. Alimentazione 24V AC/DC.,Inventario,24001,24001,unchanged,15,0
FOSMF,VASSOIO 24 FIBRE,Inventario,1008,1008,unchanged,3,0
FP1000000M080000,Per Day Charge for Onsite Resource Service (SOW),Non in inventario,6007,6007,unchanged,8,0
FP10PS0018010101,FortiNAC Resource Service Per Day Charge for FortiNAC PS Resource Service (FortiCare Contract),Non in inventario,6007,6007,unchanged,13,0
